group,fold,source_dir,history_epochs,last_valid_macro_f1,last_valid_accuracy,last_valid_loss,last_train_loss,last_train_accuracy,best_epoch,best_valid_macro_f1,test_macro_f1,test_accuracy,test_loss,epochs_completed
bert_base_scratch5,0,agnews_classification/outputs/fivefold_bert_base_scratch_full_e6_tapt_e4_lr3e5_e12/fold_0,12,0.924786560902422,0.9249206781387329,0.2817431112770965,0.14243717928488717,0.9831702911790192,,,,,,
bert_base_scratch5,1,agnews_classification/outputs/fivefold_bert_base_scratch_full_e6_tapt_e4_lr3e5_e12/fold_1,12,0.9245827128499443,0.9246701002120972,0.2837037821920224,0.14217046592763588,0.9832955743712349,,,,,,
bert_base_scratch5,2,agnews_classification/outputs/fivefold_bert_base_scratch_full_e6_tapt_e4_lr3e5_e12/fold_2,12,0.9257626397702412,0.9259166717529297,0.28028052398628645,0.13985055785805273,0.9841833272433054,,,,,,
bert_base_scratch5,3,agnews_classification/outputs/fivefold_bert_base_scratch_full_e6_tapt_e4_lr3e5_e12/fold_3,12,0.9268389057326166,0.9269158244132996,0.2731448517839653,0.1421387762528536,0.9829724594408369,,,,,,
bert_base_scratch5,4,agnews_classification/outputs/fivefold_bert_base_scratch_full_e6_tapt_e4_lr3e5_e12/fold_4,12,0.9253949438345406,0.9255346059799194,0.27798534913322737,0.1392279193352881,0.9841418981698978,,,,,,
dpcnn5_b5,0,agnews_dpcnn/outputs/dpcnn_pseudo_t098_bal12k_5fold_b5_do065_lr6e4/fold_0,8,0.920227973024357,0.920327365398407,0.28072571924697665,0.21787288538012506,0.9968317068432143,5,0.9219951336128542,0.9191830181398017,0.9193421006202698,0.2739945963181947,8
dpcnn5_b5,1,agnews_dpcnn/outputs/dpcnn_pseudo_t098_bal12k_5fold_b5_do065_lr6e4/fold_1,7,0.9212228065851795,0.9212460517883301,0.27863962462236314,0.21989753075171056,0.9958005170893548,3,0.9233754675256722,0.922273343209306,0.9222368597984314,0.2533955264718909,7
dpcnn5_b5,2,agnews_dpcnn/outputs/dpcnn_pseudo_t098_bal12k_5fold_b5_do065_lr6e4/fold_2,8,0.9200856374486417,0.920195460319519,0.2822634534938168,0.2172673800777298,0.9969064769704397,5,0.9215891683036093,0.9200959416758988,0.9200000166893005,0.2728451430483868,8
dpcnn5_b5,3,agnews_dpcnn/outputs/dpcnn_pseudo_t098_bal12k_5fold_b5_do065_lr6e4/fold_3,7,0.917683037065613,0.9177281260490417,0.28951988494777064,0.21964797656972698,0.9958529167818634,3,0.923717396559957,0.9174603841978177,0.9173684120178223,0.26103343094650067,7
dpcnn5_b5,4,agnews_dpcnn/outputs/dpcnn_pseudo_t098_bal12k_5fold_b5_do065_lr6e4/fold_4,7,0.9184020158392787,0.9185599684715271,0.28324229105674736,0.2200326472507467,0.9957333931106628,3,0.9220387770644829,0.9206918152446286,0.9209210276603699,0.25848169307959706,7
textcnn5_wide,0,agnews_dpcnn/outputs/textcnn_pseudo_t098_bal12k_5fold_wide_cosine_short_lr8e4/fold_0,6,0.9162495003646197,0.9164022207260132,0.2740552719052136,0.2531261846899493,0.9887839433293979,2,0.9208600801828383,0.9181213221420987,0.9182894825935364,0.27099439950365767,6
textcnn5_wide,1,agnews_dpcnn/outputs/textcnn_pseudo_t098_bal12k_5fold_wide_cosine_short_lr8e4/fold_1,7,0.9176995188722068,0.9178219437599182,0.2690162550498075,0.24576525944100885,0.991832678253852,3,0.9215287474986639,0.921559849992245,0.9215789437294006,0.25939326433758986,7
textcnn5_wide,2,agnews_dpcnn/outputs/textcnn_pseudo_t098_bal12k_5fold_wide_cosine_short_lr8e4/fold_2,6,0.9174405780420414,0.9175645112991333,0.268839997022779,0.2520215753111255,0.9889634456167619,2,0.9204741819203721,0.9170912187763134,0.917236864566803,0.2679487241883027,6
textcnn5_wide,3,agnews_dpcnn/outputs/textcnn_pseudo_t098_bal12k_5fold_wide_cosine_short_lr8e4/fold_3,7,0.9182671021861432,0.9183963537216187,0.26576053880530026,0.24538213894404612,0.9920570279984159,3,0.9243231549050007,0.9224569804006396,0.9225000143051147,0.25826743492954657,7
textcnn5_wide,4,agnews_dpcnn/outputs/textcnn_pseudo_t098_bal12k_5fold_wide_cosine_short_lr8e4/fold_4,7,0.9165445694999895,0.9167223572731018,0.27168969886182665,0.24564058342977088,0.9918628110289173,3,0.922319803800297,0.9189522966900858,0.9190789461135864,0.2614073905191923,7
teacher_deberta_v3_base_single,single,agnews_teacher_pseudo/outputs/deberta_v3_base_single,,,,,,,,0.9493761332574265,0.9474767703626925,0.9474999904632568,0.19679094210659204,
teacher_roberta_large_fast,single,agnews_teacher_pseudo/outputs/roberta_large_fast,,,,,,,3,0.9531637334566974,0.9513244864145438,0.9513157606124878,0.18403700837179235,
teacher_electra_large_fast_b48,single,agnews_teacher_pseudo/outputs/electra_large_fast_b48,,,,,,,3,0.9574151020226056,0.9501004194824153,0.9501315951347351,0.17659542877423137,
